Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
AETHER INDUSTRIES,CHEMICALS,AETHER,838.05,10047.69,12.83,15.9,21.3,27.77,838.69,1121.82,1439.38,1793.67,167.88,184.6,236.8,207.1,170.292,216.925,282.55,368.4,65.32,4.99,11.98,52.71,4.54,8.96,39.35,3.54,6.98,30.18,4.05,5.6,40.74,4.04,7.18
ANUPAM RASAYAN INDIA,CHEMICALS,ANURAS,1333.4,12813.62,8.5,12.77,21.59,29.44,1436.97,1635.44,2084.32,2548.06,259.28,287.7,340.31,310.01,93.349,143.14000000000001,242.5,330.64,156.87,5.14,8.92,104.42,4.63,7.83,61.77,3.92,6.15,45.29,4.3,5.03,70.49,4.28,6.34
SUPREME PETROCHEM,CHEMICALS,SPLPETRO,626.75,14761.24,20.77,28.1,38.0,,6023.38,7400.4,9102.5,,,,,,390.5248,528.3,714.7,n.a.,30.18,,2.45,22.3,,1.99,16.49,,1.62,,,,19.4,,1.81
GALAXY SURFACTANTS,CHEMICALS,GALAXYSURF,1991.8,8016.67,86.0,96.24,108.66,121.05,4223.67,4803.16,5162.71,5641.22,666.35,734.16,906.43,812.39,304.90999999999997,341.2273,385.2545,429.31679999999994,23.16,2.99,1.9,20.7,2.71,1.67,18.33,2.2,1.55,16.45,2.45,1.42,18.49,2.45,1.55
PCBL,CHEMICALS,PCBL,307.1,14379.43,11.5,14.34,19.83,22.1,8404.25,9133.26,10306.44,10811.0,97.95,109.0,135.3,122.94,435.1199,547.3348,757.9914,831.9,26.7,3.14,1.71,21.42,2.82,1.57,15.48,2.27,1.4,13.9,2.5,1.33,16.93,2.53,1.43
BALAJI AMINES LIMITED,CHEMICALS,BALAMINES,1116.6,5039.65,48.62,66.14,83.5,115.1,1397.08,1636.12,1955.34,2106.7,569.45,667.4,787.6,740.5,157.52100000000002,203.8567,256.36,329.8,22.97,1.96,3.61,16.88,1.67,3.08,13.37,1.42,2.58,9.7,1.51,2.39,13.32,1.53,2.68
JUBILANT INGREVIA LTD,CHEMICALS,JUBLINGREA,709.9,11430.91,15.84,20.1,24.8,35.65,4177.61,4777.47,5424.93,6684.6,185.11,203.45,253.7,223.0,251.17,318.56669999999997,393.1,566.05,44.82,3.83,2.74,35.32,3.49,2.39,28.62,2.8,2.11,19.91,3.18,1.71,27.95,3.16,2.07
ARCHEAN CHEMICAL INDUSTRIES,CHEMICALS,ACI,511.25,8457.26,13.12,28.25,39.17,45.95,1041.02,1645.02,2030.2,2460.45,151.02,177.27,254.9,214.03,202.169,348.65,483.275,567.75,38.97,3.39,8.12,18.1,2.88,5.14,13.05,2.01,4.17,11.13,2.39,3.44,14.09,2.43,4.25
LAXMI ORGANIC INDUSTRIES,CHEMICALS,LXCHEM,171.49,5980.57,4.07,4.83,6.47,8.7,2985.44,3361.3,4043.37,5471.1,68.83,73.7,,79.1,113.50399999999999,133.9667,179.1667,242.3,42.14,2.49,2.0,35.48,2.33,1.78,26.52,,1.48,19.71,2.17,1.09,27.24,2.25,1.45
CHEMPLAST SANMAR,CHEMICALS,CHEMPLASTS,248.05,6830.32,-6.92,1.17,20.0,20.5,4346.07,5375.07,5766.17,6119.4,130.82,128.6,,140.9,-110.35999999999999,22.1,310.8333,309,-35.85,1.9,1.57,212.55,1.93,1.27,12.4,,1.18,12.1,1.76,1.12,79.02,1.84,1.19
GUJ.ALKALIES & CHEMS.,CHEMICALS,GUJALKALI,503.85,4189.94,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
GHCL,CHEMICALS,GHCL,571.45,5465.06,63.34,67.85,71.3,70.5,3183.48,3325.0,3469.45,4301.5,364.47,415.6,526.4,470.9,624.15,649.65,682.85,675.2,9.02,1.57,1.72,8.42,1.38,1.64,8.01,1.09,1.58,8.11,1.21,1.27,8.18,1.22,1.5
PRIVI SPECIALITY CHEMICALS,CHEMICALS,PRIVISCL,3088.4,9380.12,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
NOCIL,CHEMICALS,NOCIL,155.21,3023.82,6.43,6.3,7.98,11.65,1392.69,1452.08,1621.14,1802.95,105.0,108.85,,113.45,107.58,105.46,133.3,194.5,24.14,1.48,2.17,24.64,1.43,2.08,19.45,,1.87,13.32,1.37,1.68,19.14,1.4,1.87
ROSSARI BIOTECH,CHEMICALS,ROSSARI,569.75,3466.53,24.63,28.73,36.47,42.8,2080.29,2379.33,2811.4,3276.8,214.12,239.9,320.9,271.05,136.378,158.63330000000002,201.7333,236.5,23.13,2.66,1.67,19.83,2.37,1.46,15.62,1.78,1.23,13.31,2.1,1.06,16.25,2.08,1.25
FINEOTEX CHEMICAL,CHEMICALS,FCL,24.01,2883.28,9.53,10.2,13.4,,533.33,602.5,722.8,,,,,,108.18820000000001,123.9,162.3,n.a.,2.52,,5.41,2.35,,4.79,1.79,,3.99,,,,2.07,,4.39
NEOGEN CHEMICALS,CHEMICALS,NEOGEN,1079.5,3800.28,18.54,21.97,44.28,52.52,777.56,998.45,1869.85,2502.38,299.22,317.5,394.5,347.0,48.910000000000004,57.9667,114.8,137.42000000000002,58.23,3.61,4.89,49.14,3.4,3.81,24.38,2.74,2.03,20.55,3.11,1.52,31.36,3.08,2.45
TATVA CHINTAN PHARMA CHEM,CHEMICALS,TATVA,1400.0,2520.96,2.44,12.75,23.75,19.5,382.71,496.87,624.7,650.7,315.84,335.75,359.3,362.05,5.713,44,68.2667,45.7,573.77,4.43,6.59,109.8,4.17,5.07,58.95,3.9,4.04,71.79,3.87,3.87,80.18,3.98,4.33
INDIA GLYCOLS,CHEMICALS,INDIAGLYCO,1065.5,5094.4,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
CAMLIN FINE SCIENCES,CHEMICALS,CAMLINFINE,155.52,4227.28,-7.38,5.7,11.35,10.8,1666.53,2016.5,2415.75,2643.6,48.0,53.3,77.7,64.9,-129.23,107.95,212.75,202.5,-21.07,3.24,2.54,27.28,2.92,2.1,13.7,2.0,1.75,14.4,2.4,1.6,18.46,2.44,1.82
THIRUMALAI CHEMICALS,CHEMICALS,TIRUMALCHM,229.82,2897.07,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
S H KELKAR AND COMPANY,CHEMICALS,SHK,166.66,3130.39,9.7,10.9,15.5,19.9,2123.4,2394.3,2711.3,3063.3,,,,,133.79000000000002,196.1,214.5,276.1,17.18,,1.47,15.29,,1.31,10.75,,1.15,8.37,,1.02,11.47,,1.16
DCW,CHEMICALS,DCW,58.63,2249.67,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
VALIANT ORGANICS,CHEMICALS,VALIANTORG,263.35,979.6,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Organic Chemicals,NAN,NAN,,461877.12,,,,,116618.04,132528.29,153594.0,155734.38,,,,,8774.110200000001,12199.255000000001,16030.253799999999,16946.318799999997,,,3.96,,,3.49,,,3.01,,,2.97,,,3.15
Median - Organic Chemicals,NAN,NAN,,461877.12,,,,,116618.04,132528.29,153594.0,155734.38,,,,,8774.110200000001,12199.255000000001,16030.253799999999,16946.318799999997,,,3.96,,,3.49,,,3.01,,,2.97,,,3.15
DYES & PIGMENTS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIDILITE INDUSTRIES,CHEMICALS,PIDILITIND,1458.3,158043.4,41.22,48.0,54.32,62.8,13140.31,14582.47,16229.16,18141.92,191.77,218.48,287.89,250.78,2101.16,2424.903,2728.2,3127.6040000000003,35.38,7.6,12.03,30.38,6.67,10.84,26.85,5.07,9.74,23.22,5.82,8.71,26.82,5.85,9.76
EPIGRAL,CHEMICALS,EPIGRAL,1389.1,7909.96,84.68,98.3,121.5,154.2,2550.13,2860.7,3557.4,4458.3,441.46,554.3,817.9,669.8,357.69,504.7,524.1,665.1,16.4,3.15,3.1,14.13,2.51,2.77,11.43,1.7,2.22,9.01,2.07,1.77,11.52,2.09,2.25
SUDARSHAN CHEMICALS,CHEMICALS,SUDARSCHEM,970.4,11373.69,22.5,25.5,43.07,73.6,3345.58,9963.87,10604.97,11605.45,437.82,280.4,,309.0,159.378,200.36669999999998,338.4,578.1,43.13,2.22,3.4,38.05,3.46,1.14,22.53,,1.07,13.18,3.14,0.98,24.59,3.3,1.06
KIRI INDUSTRIES,CHEMICALS,KIRIINDUS,568.8,3192.6,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Dyes & Pigments,NAN,NAN,,180519.64,,,,,19036.02,27407.04,30391.53,34205.67,,,,,2618.228,3129.9696999999996,3590.7,4370.804,,,9.48,,,6.59,,,5.94,,,5.28,,,5.93
Median - Dyes & Pigments,NAN,NAN,,180519.64,,,,,19036.02,27407.04,30391.53,34205.67,,,,,2618.228,3129.9696999999996,3590.7,4370.804,,,9.48,,,6.59,,,5.94,,,5.28,,,5.93
LUBRICANTS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTROL INDIA,CHEMICALS,CASTROLIND,182.82,20515.38,9.37,10.08,10.82,12.3,5364.85,5705.02,6044.8,6723.8,23.0,21.23,,21.2,927.2301,966.6199,1037.6,1200,19.51,7.95,3.82,18.14,8.61,3.6,16.9,,3.39,14.86,8.62,3.05,16.63,8.62,3.35
GULF OIL LUBES INDIA,CHEMICALS,GULFOILLUB,1211.5,6159.03,72.42,82.37,92.67,104.3,3631.16,3899.3,4287.87,4752.2,296.54,330.5,409.8,368.1,359.8512,405.43330000000003,456.2,514.3,16.73,4.09,1.7,14.71,3.67,1.58,13.07,2.96,1.44,11.62,3.29,1.3,13.13,3.3,1.44
GANDHAR OIL REFINERY (INDIA),CHEMICALS,GANDHAR,145.75,1482.38,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Lubricants,NAN,NAN,,28156.8,,,,,8996.01,9604.32,10332.67,11476.0,,,,,1287.0813,1372.0532,1493.8,1714.3,,,3.13,,,2.93,,,2.73,,,2.45,,,2.7
Median - Lubricants,NAN,NAN,,28156.8,,,,,8996.01,9604.32,10332.67,11476.0,,,,,1287.0813,1372.0532,1493.8,1714.3,,,3.13,,,2.93,,,2.73,,,2.45,,,2.7
OTHER CHEMICALS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR INDUSTRIES IDA.,CHEMICALS,SOLARINDS,11911.0,132604.1,133.65,190.07,247.76,295.97,7540.26,10101.97,12920.67,15648.13,484.73,658.63,1148.95,891.03,1209.44,1728.143,2246.3,2717.183,89.12,24.57,17.59,62.67,18.08,13.13,48.08,10.37,10.26,40.24,13.37,8.47,50.33,13.94,10.62
LINDE INDIA,CHEMICALS,LINDEINDIA,5896.0,53686.41,52.51,61.2,74.5,91.5,2485.38,2686.9,3089.9,3682.5,443.1,486.3,616.2,542.8,447.8129,522.3,635,780,112.28,13.31,21.6,96.34,12.12,19.98,79.14,9.57,17.37,64.44,10.86,14.58,79.97,10.85,17.31
GODREJ INDUSTRIES,CHEMICALS,GODREJIND,992.6,43319.62,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
ADVANCED ENZYME TECHS.,CHEMICALS,ADVENZYMES,308.65,3460.48,11.71,14.0,16.2,19.0,636.91,750.7,891.1,1034.3,128.09,135.4,156.5,145.1,131.115,156.3,180.7,212.5,26.36,2.41,5.43,22.05,2.28,4.61,19.05,1.97,3.88,16.24,2.13,3.35,19.11,2.13,3.95
AMI ORGANICS,CHEMICALS,AMIORG,,11703.98,19.81,27.45,36.02,47.0,1006.88,1296.48,1635.2,2066.9,159.97,186.7,262.47,219.43,158.71359999999999,224.0167,293.7333,383.2,,,11.62,,,9.03,,,7.16,,,5.66,,,7.28
Average - Other Chemicals,NAN,NAN,,244774.59,,,,,11669.42,14836.05,18536.87,22431.83,,,,,1947.0815,2630.7597000000005,3355.7333,4092.883,,,20.98,,,16.5,,,13.2,,,10.91,,,13.54
Median - Other Chemicals,NAN,NAN,,244774.59,,,,,11669.42,14836.05,18536.87,22431.83,,,,,1947.0815,2630.7597000000005,3355.7333,4092.883,,,20.98,,,16.5,,,13.2,,,10.91,,,13.54
Average - Chemicals,NAN,NAN,,915328.15,,,,,156319.49,184375.7,212855.07,223847.88,,,,,14626.501000000002,19332.037600000003,24470.4871,27124.305799999995,,,5.86,,,4.96,,,4.3,,,4.09,,,4.45
Median - Chemicals,NAN,NAN,,915328.15,,,,,156319.49,184375.7,212855.07,223847.88,,,,,14626.501000000002,19332.037600000003,24470.4871,27124.305799999995,,,5.86,,,4.96,,,4.3,,,4.09,,,4.45
BUILDING MATERIAL,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAINTS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAN PAINTS,BUILDING MATERIAL,ASIANPAINT,2799.9,238960.2,42.05,44.49,49.69,55.55,33905.62,35370.22,38369.53,41891.99,202.35,217.08,259.93,238.41,4030.3300000000004,4280.472,4791.392,5389.057,66.59,13.84,7.05,62.93,12.9,6.76,56.34,10.77,6.23,50.4,11.74,5.7,56.56,11.8,6.23
BERGER PAINTS INDIA,BUILDING MATERIAL,BERGEPAINT,538.0,62322.9,10.12,10.86,12.34,13.61,11544.71,12418.12,13591.89,14783.37,52.78,60.3,74.89,67.88,1180.4,1266.047,1441.3790000000001,1595.576,53.16,10.19,5.4,49.54,8.92,5.02,43.61,7.18,4.59,39.53,7.93,4.22,44.23,8.01,4.61
KANSAI NEROLAC PAINTS,BUILDING MATERIAL,KANSAINER,222.98,18962.61,6.34,8.94,9.89,10.73,7822.97,8347.1,9065.78,9950.44,79.45,84.91,96.66,90.99,513.4398,722.8578,802.2875,861.7004000000001,35.17,2.81,2.42,24.93,2.63,2.27,22.54,2.31,2.09,20.78,2.45,1.91,22.75,2.46,2.09
AKZO NOBEL INDIA,BUILDING MATERIAL,AKZOINDIA,3149.4,15585.71,94.31,100.45,109.85,,4091.2,4278.65,4594.85,,292.09,187.8,,180.6,429.5,457.1,499.9,n.a.,33.39,10.78,3.81,31.35,16.77,3.64,28.67,,3.39,,17.44,,30.01,17.1,3.52
INDIGO PAINTS,BUILDING MATERIAL,INDIGOPNTS,1188.6,5365.57,29.68,32.15,37.17,41.42,1340.67,1432.11,1593.05,1732.25,216.35,245.06,308.77,278.2,141.75889999999998,152.95,176.85,189.95,40.05,5.49,4.0,36.97,4.85,3.75,31.98,3.85,3.37,28.69,4.27,3.1,32.55,4.32,3.4
Average - Paints,NAN,NAN,,341196.99,,,,,58705.17,61846.2,67215.1,68358.05,,,,,6295.4287,6879.4268,7711.8085,8036.283399999999,,,5.81,,,5.52,,,5.08,,,4.99,,,5.19
Median - Paints,NAN,NAN,,341196.99,,,,,58705.17,61846.2,67215.1,68358.05,,,,,6295.4287,6879.4268,7711.8085,8036.283399999999,,,5.81,,,5.52,,,5.08,,,4.99,,,5.19
PIPES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPREME INDUSTRIES,BUILDING MATERIAL,SUPREMEIND,3368.1,58828.67,75.64,90.03,108.95,123.04,10446.25,11714.99,13348.76,14950.61,445.61,497.98,650.1,563.64,960.8801,1137.6309999999999,1351.28,1580.732,44.53,7.56,5.63,37.41,6.76,5.02,30.91,5.18,4.41,27.37,5.98,3.93,31.9,5.97,4.45
ASTRAL,BUILDING MATERIAL,ASTRAL,1423.6,37993.01,19.5,20.89,26.73,32.26,5819.4,6411.4,7395.06,8473.56,134.65,155.24,207.47,177.72,523.8,557.6332,716.3871,863.3183999999999,73.01,10.57,6.53,68.16,9.17,5.93,53.26,6.86,5.14,44.13,8.01,4.48,55.18,8.01,5.18
FINOLEX INDUSTRIES,BUILDING MATERIAL,FINPIPE,166.18,13116.29,5.84,8.75,10.81,11.88,4141.97,4530.91,5122.95,5572.03,96.73,104.08,113.18,116.52,360.87,534.0578,629.8520000000001,683.75,28.46,1.72,3.17,19.0,1.6,2.89,15.38,1.47,2.56,13.99,1.43,2.35,16.12,1.5,2.6
PRINCE PIPES AND FITTINGS,BUILDING MATERIAL,PRINCEPIPE,249.2,3739.73,3.9,9.93,14.71,17.7,2523.92,2789.36,3158.44,3453.66,142.58,177.34,263.87,191.58,43.136,103.65450000000001,158.10909999999998,195.32,63.9,1.75,1.48,25.11,1.41,1.34,16.94,0.94,1.18,14.08,1.3,1.08,18.71,1.22,1.2
JAIN IRRIGATION SYSTEMS,BUILDING MATERIAL,JISLJALEQS,40.1,3246.32,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
APOLLO PIPES,BUILDING MATERIAL,APOLLOPIPE,306.9,1765.72,7.74,9.07,14.47,18.77,1181.64,1273.43,1543.67,1817.78,179.97,197.5,217.8,210.6,32.6482,40.716699999999996,65.11670000000001,84.45,39.65,1.71,1.49,33.85,1.55,1.39,21.21,1.41,1.14,16.35,1.46,0.97,23.8,1.47,1.17
HARIOM PIPE INDUSTRIES,BUILDING MATERIAL,HARIOMPIPE,351.7,1528.7,,45.5,,,,1175.0,,,,109.3,,,46.208,116,n.a.,n.a.,,,,7.73,3.22,1.3,,,,,,,7.73,3.22,1.3
Average - Pipes,NAN,NAN,,120218.43,,,,,24113.17,27895.09,30568.88,34267.64,,,,,1967.5423,2489.6932,2920.7449000000006,3407.5704,,,4.99,,,4.31,,,3.93,,,3.51,,,3.92
Median - Pipes,NAN,NAN,,120218.43,,,,,24113.17,27895.09,30568.88,34267.64,,,,,1967.5423,2489.6932,2920.7449000000006,3407.5704,,,4.99,,,4.31,,,3.93,,,3.51,,,3.92
PLYWOOD AND LAMINATES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTURY PLYBOARDS INDIA,BUILDING MATERIAL,CENTURYPLY,822.9,16381.92,8.94,14.61,22.42,28.81,4527.8,5199.79,5989.72,6889.91,106.45,119.64,162.76,139.61,198.6544,325.60630000000003,498.55,641.2223,92.05,7.73,3.62,56.33,6.88,3.15,36.7,5.06,2.74,28.56,5.89,2.38,40.53,5.94,2.75
GREENLAM INDUSTRIES,BUILDING MATERIAL,GREENLAM,247.8,5942.64,2.68,3.75,7.55,10.74,2503.87,3019.61,3527.87,4067.44,44.17,47.12,61.73,53.64,69.69,95.64,192.7,274.1714,92.46,5.61,2.37,66.08,5.26,1.97,32.82,4.01,1.68,23.07,4.62,1.46,40.66,4.63,1.7
GREENPANEL INDUSTRIES,BUILDING MATERIAL,GREENPANEL,227.18,3251.46,5.88,5.72,14.36,16.9,1435.77,1707.48,2051.29,2311.7,112.96,117.7,143.25,129.04,72.1089,74.3091,177.91,207.35,38.64,2.01,2.26,39.73,1.93,1.9,15.83,1.59,1.59,13.44,1.76,1.41,23.0,1.76,1.63
GREENPLY INDUSTRIES,BUILDING MATERIAL,GREENPLY,246.85,3914.39,7.34,11.39,15.81,20.88,2487.58,2734.28,3037.86,2891.4,64.76,75.68,111.0,90.37,91.63210000000001,144.75,197.2,259.85,33.63,3.81,1.57,21.67,3.26,1.43,15.62,2.22,1.29,11.83,2.73,1.35,16.37,2.74,1.36
STYLAM INDUSTRIES,BUILDING MATERIAL,STYLAMIND,2175.0,2862.19,71.46,82.22,101.9,120.7,1025.09,1188.06,1412.78,1578.2,387.88,456.95,670.0,536.2,121.8729,139.52,172.74,204.6,30.44,5.61,2.79,26.45,4.76,2.41,21.34,3.25,2.03,18.02,4.06,1.81,21.94,4.02,2.08
Average - Plywood and Laminates,NAN,NAN,,32352.6,,,,,11980.11,13849.21,16019.52,17738.66,,,,,553.9583,779.8254,1239.1,1587.1936999999998,,,2.7,,,2.34,,,2.02,,,1.82,,,2.06
Median - Plywood and Laminates,NAN,NAN,,32352.6,,,,,11980.11,13849.21,16019.52,17738.66,,,,,553.9583,779.8254,1239.1,1587.1936999999998,,,2.7,,,2.34,,,2.02,,,1.82,,,2.06
"ELECTRICALS, WIRES & CABLES",NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELL'S INDIA,BUILDING MATERIAL,HAVELLS,1416.9,97928.28,23.48,27.21,33.16,37.66,21778.06,23987.68,27638.59,30874.59,132.78,149.19,188.0,169.15,1472.26,1675.6830000000002,2119.6639999999998,2356.921,60.34,10.67,4.5,52.07,9.5,4.08,42.73,7.54,3.54,37.62,8.38,3.17,44.14,8.47,3.6
POLYCAB INDIA,BUILDING MATERIAL,POLYCAB,7439.0,106442.5,133.8,166.77,196.1,225.02,22408.31,26793.53,31522.62,36737.97,659.04,777.86,1093.14,926.58,2019.9900000000002,2474.495,2925.127,3331.8540000000003,55.6,11.29,4.75,44.61,9.56,3.97,37.93,6.81,3.38,33.06,8.03,2.9,38.53,8.13,3.42
KEI INDUSTRIES,BUILDING MATERIAL,KEI,4284.4,37673.52,75.55,88.76,107.59,133.71,9735.88,11487.02,13695.55,16585.29,605.5,688.52,916.08,790.11,696.4141,841.5495999999999,1014.699,1267.7450000000001,56.71,7.08,3.87,48.27,6.22,3.28,39.82,4.68,2.75,32.04,5.42,2.27,40.04,5.44,2.77
R R KABEL,BUILDING MATERIAL,RRKABEL,1487.0,13762.59,27.57,36.41,45.48,55.12,7618.23,8823.94,10254.72,11749.13,190.38,219.41,301.42,257.56,311.61,403.36,506.5602,601.7,53.94,7.81,1.81,40.84,6.78,1.56,32.69,4.93,1.34,26.98,5.77,1.17,33.5,5.83,1.36
FINOLEX CABLES,BUILDING MATERIAL,FINCABLES,787.25,12835.43,35.6,44.9,51.2,57.6,5318.89,6010.84,6751.64,7611.63,,338.93,418.9,378.57,544.4,689.0398,783.0398,881.1,22.11,,2.41,17.53,2.32,2.14,15.38,1.88,1.9,13.67,2.08,1.69,15.53,2.09,1.91
BAJAJ ELECTRICALS,BUILDING MATERIAL,BAJAJELEC,479.7,6802.59,9.71,12.89,19.2,25.22,4828.43,5139.89,5710.26,6369.56,135.15,157.43,183.34,170.41,112.05,146.8846,221.59229999999997,294.1429,49.4,3.55,1.41,37.21,3.05,1.32,24.98,2.62,1.19,19.02,2.81,1.07,27.07,2.83,1.19
IKIO LIGHTING,BUILDING MATERIAL,IKIO,175.48,1710.53,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
"Average - Electricals, Wires & Cables",NAN,NAN,,277155.44,,,,,71687.8,82242.91,95573.38,109928.17,,,,,5156.724099999999,6231.012,7570.682299999999,8733.4629,,,3.87,,,3.37,,,2.9,,,2.52,,,2.93
"Median - Electricals, Wires & Cables",NAN,NAN,,277155.44,,,,,71687.8,82242.91,95573.38,109928.17,,,,,5156.724099999999,6231.012,7570.682299999999,8733.4629,,,3.87,,,3.37,,,2.9,,,2.52,,,2.93
SANITARYWARE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERA SANITARYWARE,BUILDING MATERIAL,CERA,5291.5,8339.21,191.56,196.29,230.36,247.05,1926.15,2101.04,2383.56,2542.45,1049.49,1171.85,1490.55,1320.63,247.98420000000002,252.8455,296.7545,318.65,27.62,5.04,4.33,26.96,4.52,3.97,22.97,3.55,3.5,21.42,4.01,3.28,23.78,4.02,3.58
Average - Sanitaryware,NAN,NAN,,8339.21,,,,,1926.15,2101.04,2383.56,2542.45,,,,,247.98420000000002,252.8455,296.7545,318.65,,,4.33,,,3.97,,,3.5,,,3.28,,,3.58
Median - Sanitaryware,NAN,NAN,,8339.21,,,,,1926.15,2101.04,2383.56,2542.45,,,,,247.98420000000002,252.8455,296.7545,318.65,,,4.33,,,3.97,,,3.5,,,3.28,,,3.58
TILES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAJARIA CERAMICS,BUILDING MATERIAL,KAJARIACER,1053.7,20125.64,18.47,30.21,35.03,40.46,4635.07,4938.22,5453.88,6014.76,172.32,191.26,238.38,212.28,294.35,479.4809,556.1039,638.7695,57.05,6.11,4.34,34.88,5.51,4.08,30.08,4.42,3.69,26.04,4.96,3.35,30.33,4.96,3.7
SOMANY CERAMICS,BUILDING MATERIAL,SOMANYCERA,419.6,2006.55,15.13,20.69,28.0,36.0,2658.76,2851.19,3134.89,3464.1,188.19,206.49,257.82,229.48,62.07000000000001,84.4,112.7077,147.61669999999998,27.73,2.23,0.75,20.28,2.03,0.7,14.99,1.63,0.64,11.66,1.83,0.58,15.64,1.83,0.64
Average - Tiles,NAN,NAN,,22132.19,,,,,7293.83,7789.41,8588.76,9478.86,,,,,356.42,563.8809,668.8116,786.3861999999999,,,3.03,,,2.84,,,2.58,,,2.33,,,2.58
Median - Tiles,NAN,NAN,,22132.19,,,,,7293.83,7789.41,8588.76,9478.86,,,,,356.42,563.8809,668.8116,786.3861999999999,,,3.03,,,2.84,,,2.58,,,2.33,,,2.58
Average - Building Material,NAN,NAN,,801394.87,,,,,175706.23,195723.86,220349.2,242313.82,,,,,14578.057600000002,17196.6838,20407.9018,22869.5466,,,4.56,,,4.09,,,3.64,,,3.31,,,3.68
Median - Building Material,NAN,NAN,,801394.87,,,,,175706.23,195723.86,220349.2,242313.82,,,,,14578.057600000002,17196.6838,20407.9018,22869.5466,,,4.56,,,4.09,,,3.64,,,3.31,,,3.68
METALS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERROUS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSW STEEL,METALS,JSWSTEEL,1079.6,258063.0,16.32,50.97,65.46,69.83,168824.0,189652.2,210683.5,220696.4,325.74,380.9,505.0,438.86,3993,12374.58,16202.65,17220.23,66.15,3.31,1.53,21.18,2.83,1.36,16.49,2.14,1.22,15.46,2.46,1.17,17.71,2.48,1.25
TATA STEEL,METALS,TATASTEEL,168.69,199274.5,3.42,10.04,13.14,14.82,218542.5,234045.0,249037.6,256468.6,73.1,79.52,97.98,87.98,4275.15,12366.84,16275.11,18605.39,49.32,2.31,0.91,16.81,2.12,0.85,12.84,1.72,0.8,11.38,1.92,0.78,13.68,1.92,0.81
JINDAL STEEL & POWER,METALS,JINDALSTEL,992.6,101362.1,40.0,60.82,86.38,97.02,49764.97,57119.57,69997.44,76812.95,466.36,525.95,680.72,606.04,4041.5800000000004,6176.254,8940.544,9870.063,24.82,2.13,2.04,16.32,1.89,1.77,11.49,1.46,1.45,10.23,1.64,1.32,12.68,1.66,1.51
STEEL AUTHORITY OF INDIA,METALS,SAIL,125.91,50739.35,5.96,8.85,10.15,9.46,102478.2,107855.8,114397.3,114858.6,134.74,144.32,158.91,152.85,2460.6,3931.85,4784.063,4505.617,21.13,0.93,0.5,14.22,0.87,0.47,12.41,0.79,0.44,13.31,0.82,0.44,13.31,0.83,0.45
SHYAM METALICS AND ENERGY,METALS,SHYAMMETL,818.05,26371.88,32.57,53.09,73.85,74.1,15137.5,20611.41,25504.59,25247.1,379.32,434.86,568.0,508.78,908.1,1478.014,2055.528,2061.5,25.12,2.16,1.74,15.41,1.88,1.28,11.08,1.44,1.03,11.04,1.61,1.04,12.51,1.64,1.12
