Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
Median - HOLDCO,NAN,NAN,,615354.38,,,,,133821.1,145212.7,174497.8,191692.3,,,,,11045.973,12178.68,15190.039999999999,16273.7,,,4.6,,,4.24,,,3.53,,,3.21,,,3.66
Average - NBFC,NAN,NAN,,2969011.65,,,,,528424.48,464108.2,550768.97,624895.88,,,,,118339.0458,143389.0175,170580.66770000002,190130.9853,,,5.62,,,6.4,,,5.39,,,4.75,,,5.51
Median - NBFC,NAN,NAN,,2969011.65,,,,,528424.48,464108.2,550768.97,624895.88,,,,,118339.0458,143389.0175,170580.66770000002,190130.9853,,,5.62,,,6.4,,,5.39,,,4.75,,,5.51
LIFE INSURANCE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE INSURANCE CORPORATION OF INDIA,INSURANCE,LICI,852.0,565486.3,76.4,80.62,91.3,98.14,887339.5,881249.2,1018375.0,1003521.0,201.15,266.9,400.36,280.73,48320.33,50629.55,55531.969999999994,56856.36,11.15,4.24,0.64,10.57,3.19,0.64,9.33,2.13,0.56,8.68,3.03,0.56,9.53,2.79,0.59
SBI LIFE INSURANCE COMPANY,INSURANCE,SBILIFE,2028.4,185137.1,24.07,27.93,31.59,36.89,84059.83,96655.86,110172.7,129406.9,169.49,212.42,256.4,220.57,2413.3,2744.466,3154.047,3448.065,84.27,11.97,2.2,72.61,9.55,1.92,64.21,7.91,1.68,54.98,9.2,1.43,63.93,8.89,1.68
HDFC LIFE INSURANCE COMPANY,INSURANCE,HDFCLIFE,766.45,169591.1,8.37,9.35,10.62,12.02,95944.84,112238.4,124179.2,140362.9,74.92,80.54,14.64,88.4,1802.1200000000001,2109.032,2430.032,2839.879,91.57,10.23,1.77,81.94,9.52,1.51,72.17,52.35,1.37,63.79,8.67,1.21,72.63,23.51,1.36
ICICI PRUDENTIAL LIFE INSURANCE COMPANY,INSURANCE,ICICIPRULI,650.4,91087.18,8.16,9.93,11.38,13.06,47259.41,51824.16,57600.78,64304.41,82.57,89.98,109.86,99.09,1185.52,1413.391,1613.377,1917.584,79.71,7.88,1.93,65.53,7.23,1.76,57.13,5.92,1.58,49.82,6.56,1.42,57.49,6.57,1.59
MAX FINANCIAL SVS.,INSURANCE,MFSL,1689.9,56985.34,9.53,11.44,13.84,16.47,46468.91,50742.24,60617.26,65531.42,154.16,161.9,200.23,145.06,327.21,541.1707,647.9832,816.3387,177.32,10.96,1.23,147.77,10.44,1.12,122.08,8.44,0.94,102.59,11.65,0.87,124.14,10.18,0.98
Average - Life Insurance,NAN,NAN,,1068287.02,,,,,1161072.49,1192709.86,1370944.94,1403126.63,,,,,54048.48,57437.60970000001,63377.409199999995,65878.2267,,,0.92,,,0.9,,,0.78,,,0.76,,,0.81
Median - Life Insurance,NAN,NAN,,1068287.02,,,,,1161072.49,1192709.86,1370944.94,1403126.63,,,,,54048.48,57437.60970000001,63377.409199999995,65878.2267,,,0.92,,,0.9,,,0.78,,,0.76,,,0.81
GENERAL INSURANCE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI LMD.GEN.INCM.,INSURANCE,ICICIGI,1954.3,95405.67,50.25,57.23,65.47,74.22,22936.6,26304.19,29719.2,33854.02,302.26,330.18,437.24,379.92,2508.29,2835.193,3266.0060000000003,3686.811,38.89,6.47,4.16,34.15,5.92,3.63,29.85,4.47,3.21,26.33,5.14,2.82,30.11,5.18,3.22
GENERAL INSURANCE CORPORATION OF INDIA,INSURANCE,GICRE,365.45,66544.39,38.2,41.65,44.3,45.1,36130.26,46870.35,51482.0,49566.7,255.38,284.9,343.6,314.2,6701.363,7265.4,7761.7,7912.4,9.57,1.43,1.84,8.77,1.28,1.42,8.25,1.06,1.29,8.1,1.16,1.34,8.38,1.17,1.35
NEW INDIA ASSURANCE COMPANY,INSURANCE,NIACL,155.74,31897.04,6.0,8.89,11.38,15.09,35367.84,43543.25,47401.35,47480.3,262.68,138.94,157.74,147.17,988.0699000000001,1473.65,1877.4,2487.3,25.96,0.59,0.9,17.52,1.12,0.73,13.69,0.99,0.67,10.32,1.06,0.67,13.84,1.06,0.69
